reference,value,mpn,description,footprint,pad_count,connected_net_count,connected_nets_sample
DR10,TVS_TBD,,,,2,1,R_OPT_BIAS_09
DR11,TVS_TBD,,,,2,1,R_OPT_BIAS_10
DR12,TVS_TBD,,,,2,1,R_OPT_BIAS_11
DR13,TVS_TBD,,,,2,1,R_OPT_BIAS_12
DR14,TVS_TBD,,,,2,1,R_OPT_BIAS_13
DR15,TVS_TBD,,,,2,1,R_OPT_BIAS_14
DR16,TVS_TBD,,,,2,1,R_OPT_BIAS_15
DR17,TVS_TBD,,,,2,1,R_OPT_BIAS_16
DR18,TVS_TBD,,,,2,1,R_OPT_BIAS_17
DR19,TVS_TBD,,,,2,1,R_OPT_BIAS_18
DR20,TVS_TBD,,,,2,1,R_OPT_BIAS_19
DR21,TVS_TBD,,,,2,1,R_OPT_BIAS_20
DR22,TVS_TBD,,,,2,1,R_OPT_BIAS_21
DR23,TVS_TBD,,,,2,1,R_OPT_BIAS_22
DR24,TVS_TBD,,,,2,1,R_OPT_BIAS_23
DR25,TVS_TBD,,,,2,1,R_OPT_BIAS_24
DR26,TVS_TBD,,,,2,1,R_OPT_BIAS_25
DR27,TVS_TBD,,,,2,1,R_OPT_BIAS_26
DR28,TVS_TBD,,,,2,1,R_OPT_BIAS_27
DR29,TVS_TBD,,,,2,1,R_OPT_BIAS_28
DR30,TVS_TBD,,,,2,1,R_OPT_BIAS_29
DR31,TVS_TBD,,,,2,1,R_OPT_BIAS_30
DR32,TVS_TBD,,,,2,1,R_OPT_BIAS_31
DRB01,CLAMP_TBD,,,,2,1,R_AUX_EXT_00
DRB02,CLAMP_TBD,,,,2,1,R_AUX_EXT_01
DRB03,CLAMP_TBD,,,,2,1,R_AUX_EXT_02
DRB04,CLAMP_TBD,,,,2,1,R_AUX_EXT_03
DRB05,CLAMP_TBD,,,,2,1,R_AUX_EXT_04
DRB06,CLAMP_TBD,,,,2,1,R_AUX_EXT_05
DRB07,CLAMP_TBD,,,,2,1,R_AUX_EXT_06
DRB08,CLAMP_TBD,,,,2,1,R_AUX_EXT_07
DRB09,CLAMP_TBD,,,,2,1,R_AUX_EXT_08
DRB10,CLAMP_TBD,,,,2,1,R_AUX_EXT_09
FIDB1,FIDUCIAL_1MM,,,,1,0,
FIDB2,FIDUCIAL_1MM,,,,1,0,
FIDB3,FIDUCIAL_1MM,,,,1,0,
FIDT1,FIDUCIAL_1MM,,,,1,0,
FIDT2,FIDUCIAL_1MM,,,,1,0,
FIDT3,FIDUCIAL_1MM,,,,1,0,
J20,PCIe_x16_SLOT,2-2337939-3,"TE Connectivity PCIe Gen5/6 x16 Slot, 164-pin",LightRail:PCIE_x16_SLOT,0,0,
J21,PCIe_x16_SLOT,2-2337939-3,"TE Connectivity PCIe Gen5/6 x16 Slot, 164-pin",LightRail:PCIE_x16_SLOT,0,0,
J22,PCIe_x16_SLOT,2-2337939-3,"TE Connectivity PCIe Gen5/6 x16 Slot, 164-pin",LightRail:PCIE_x16_SLOT,0,0,
J23,PCIe_x16_SLOT,2-2337939-3,"TE Connectivity PCIe Gen5/6 x16 Slot, 164-pin",LightRail:PCIE_x16_SLOT,0,0,
JL01,FIELD_PAD_TBD,,,,1,1,L_OPT_BIAS_00
JL02,FIELD_PAD_TBD,,,,1,1,L_OPT_BIAS_01
JL03,FIELD_PAD_TBD,,,,1,1,L_OPT_BIAS_02
JL04,FIELD_PAD_TBD,,,,1,1,L_OPT_BIAS_03
JL05,FIELD_PAD_TBD,,,,1,1,L_OPT_BIAS_04
JL06,FIELD_PAD_TBD,,,,1,1,L_OPT_BIAS_05
JL07,FIELD_PAD_TBD,,,,1,1,L_OPT_BIAS_06
JL08,FIELD_PAD_TBD,,,,1,1,L_OPT_BIAS_07
JL09,FIELD_PAD_TBD,,,,1,1,L_OPT_BIAS_08
JL10,FIELD_PAD_TBD,,,,1,1,L_OPT_BIAS_09
JL11,FIELD_PAD_TBD,,,,1,1,L_OPT_BIAS_10
JL12,FIELD_PAD_TBD,,,,1,1,L_OPT_BIAS_11
JL13,FIELD_PAD_TBD,,,,1,1,L_OPT_BIAS_12
JL14,FIELD_PAD_TBD,,,,1,1,L_OPT_BIAS_13
JL15,FIELD_PAD_TBD,,,,1,1,L_OPT_BIAS_14
JL16,FIELD_PAD_TBD,,,,1,1,L_OPT_BIAS_15
JL17,FIELD_PAD_TBD,,,,1,1,L_OPT_BIAS_16
JL18,FIELD_PAD_TBD,,,,1,1,L_OPT_BIAS_17
JL19,FIELD_PAD_TBD,,,,1,1,L_OPT_BIAS_18
JL20,FIELD_PAD_TBD,,,,1,1,L_OPT_BIAS_19
JL21,FIELD_PAD_TBD,,,,1,1,L_OPT_BIAS_20
JL22,FIELD_PAD_TBD,,,,1,1,L_OPT_BIAS_21
JL23,FIELD_PAD_TBD,,,,1,1,L_OPT_BIAS_22
JL24,FIELD_PAD_TBD,,,,1,1,L_OPT_BIAS_23
JL25,FIELD_PAD_TBD,,,,1,1,L_OPT_BIAS_24
JL26,FIELD_PAD_TBD,,,,1,1,L_OPT_BIAS_25
JL27,FIELD_PAD_TBD,,,,1,1,L_OPT_BIAS_26
JL28,FIELD_PAD_TBD,,,,1,1,L_OPT_BIAS_27
JL29,FIELD_PAD_TBD,,,,1,1,L_OPT_BIAS_28
JL30,FIELD_PAD_TBD,,,,1,1,L_OPT_BIAS_29
JL31,FIELD_PAD_TBD,,,,1,1,L_OPT_BIAS_30
JL32,FIELD_PAD_TBD,,,,1,1,L_OPT_BIAS_31
JLB01,AUX_PAD_TBD,,,,1,1,L_AUX_EXT_00
JLB02,AUX_PAD_TBD,,,,1,1,L_AUX_EXT_01
JLB03,AUX_PAD_TBD,,,,1,1,L_AUX_EXT_02
JLB04,AUX_PAD_TBD,,,,1,1,L_AUX_EXT_03
JLB05,AUX_PAD_TBD,,,,1,1,L_AUX_EXT_04
JLB06,AUX_PAD_TBD,,,,1,1,L_AUX_EXT_05
JLB07,AUX_PAD_TBD,,,,1,1,L_AUX_EXT_06
JLB08,AUX_PAD_TBD,,,,1,1,L_AUX_EXT_07
JLB09,AUX_PAD_TBD,,,,1,1,L_AUX_EXT_08
JLB10,AUX_PAD_TBD,,,,1,1,L_AUX_EXT_09
JR01,FIELD_PAD_TBD,,,,1,1,R_OPT_BIAS_00
JR02,FIELD_PAD_TBD,,,,1,1,R_OPT_BIAS_01
JR03,FIELD_PAD_TBD,,,,1,1,R_OPT_BIAS_02
JR04,FIELD_PAD_TBD,,,,1,1,R_OPT_BIAS_03
JR05,FIELD_PAD_TBD,,,,1,1,R_OPT_BIAS_04
JR06,FIELD_PAD_TBD,,,,1,1,R_OPT_BIAS_05
JR07,FIELD_PAD_TBD,,,,1,1,R_OPT_BIAS_06
JR08,FIELD_PAD_TBD,,,,1,1,R_OPT_BIAS_07
JR09,FIELD_PAD_TBD,,,,1,1,R_OPT_BIAS_08
JR10,FIELD_PAD_TBD,,,,1,1,R_OPT_BIAS_09
JR11,FIELD_PAD_TBD,,,,1,1,R_OPT_BIAS_10
JR12,FIELD_PAD_TBD,,,,1,1,R_OPT_BIAS_11
JR13,FIELD_PAD_TBD,,,,1,1,R_OPT_BIAS_12
JR14,FIELD_PAD_TBD,,,,1,1,R_OPT_BIAS_13
JR15,FIELD_PAD_TBD,,,,1,1,R_OPT_BIAS_14
JR16,FIELD_PAD_TBD,,,,1,1,R_OPT_BIAS_15
JR17,FIELD_PAD_TBD,,,,1,1,R_OPT_BIAS_16
JR18,FIELD_PAD_TBD,,,,1,1,R_OPT_BIAS_17
JR19,FIELD_PAD_TBD,,,,1,1,R_OPT_BIAS_18
JR20,FIELD_PAD_TBD,,,,1,1,R_OPT_BIAS_19
JR21,FIELD_PAD_TBD,,,,1,1,R_OPT_BIAS_20
JR22,FIELD_PAD_TBD,,,,1,1,R_OPT_BIAS_21
JR23,FIELD_PAD_TBD,,,,1,1,R_OPT_BIAS_22
JR24,FIELD_PAD_TBD,,,,1,1,R_OPT_BIAS_23
JR25,FIELD_PAD_TBD,,,,1,1,R_OPT_BIAS_24
JR26,FIELD_PAD_TBD,,,,1,1,R_OPT_BIAS_25
JR27,FIELD_PAD_TBD,,,,1,1,R_OPT_BIAS_26
JR28,FIELD_PAD_TBD,,,,1,1,R_OPT_BIAS_27
JR29,FIELD_PAD_TBD,,,,1,1,R_OPT_BIAS_28
JR30,FIELD_PAD_TBD,,,,1,1,R_OPT_BIAS_29
JR31,FIELD_PAD_TBD,,,,1,1,R_OPT_BIAS_30
JR32,FIELD_PAD_TBD,,,,1,1,R_OPT_BIAS_31
JRB01,AUX_PAD_TBD,,,,1,1,R_AUX_EXT_00
JRB02,AUX_PAD_TBD,,,,1,1,R_AUX_EXT_01
JRB03,AUX_PAD_TBD,,,,1,1,R_AUX_EXT_02
JRB04,AUX_PAD_TBD,,,,1,1,R_AUX_EXT_03
JRB05,AUX_PAD_TBD,,,,1,1,R_AUX_EXT_04
JRB06,AUX_PAD_TBD,,,,1,1,R_AUX_EXT_05
JRB07,AUX_PAD_TBD,,,,1,1,R_AUX_EXT_06
JRB08,AUX_PAD_TBD,,,,1,1,R_AUX_EXT_07
JRB09,AUX_PAD_TBD,,,,1,1,R_AUX_EXT_08
JRB10,AUX_PAD_TBD,,,,1,1,R_AUX_EXT_09
J_DDR6_1,PLACEHOLDER_DDR6_MEMORY_CHANNEL_SLOT,,,,57,0,
J_DDR6_2,PLACEHOLDER_DDR6_MEMORY_CHANNEL_SLOT,,,,57,0,
J_DDR6_3,PLACEHOLDER_DDR6_MEMORY_CHANNEL_SLOT,,,,57,0,
J_DDR6_4,PLACEHOLDER_DDR6_MEMORY_CHANNEL_SLOT,,,,57,0,
J_DDR6_5,PLACEHOLDER_DDR6_MEMORY_CHANNEL_SLOT,,,,57,0,
J_DDR6_6,PLACEHOLDER_DDR6_MEMORY_CHANNEL_SLOT,,,,57,0,
J_DDR6_7,PLACEHOLDER_DDR6_MEMORY_CHANNEL_SLOT,,,,57,0,
J_DDR6_8,PLACEHOLDER_DDR6_MEMORY_CHANNEL_SLOT,,,,57,0,
J_ETH_1,PLACEHOLDER_ETHERNET_RJ45_OR_SFP,,,,8,0,
J_ETH_2,PLACEHOLDER_ETHERNET_RJ45_OR_SFP,,,,8,0,
J_FIBER_1,PLACEHOLDER_QSFP_DD_OR_OSFP_FIBER_CAGE,,,,22,0,
J_FIBER_2,PLACEHOLDER_QSFP_DD_OR_OSFP_FIBER_CAGE,,,,22,0,
J_FIBER_3,PLACEHOLDER_QSFP_DD_OR_OSFP_FIBER_CAGE,,,,22,0,
J_FIBER_4,PLACEHOLDER_QSFP_DD_OR_OSFP_FIBER_CAGE,,,,22,0,
J_HDMI_1,PLACEHOLDER_HDMI_TYPE_A,,,,19,0,
J_PCIE_X16_1,PLACEHOLDER_PCIE_X16_FEMALE_SLOT,,,,60,0,
J_PCIE_X16_2,PLACEHOLDER_PCIE_X16_FEMALE_SLOT,,,,60,0,
J_PCIE_X16_3,PLACEHOLDER_PCIE_X16_FEMALE_SLOT,,,,60,0,
J_USB_1,PLACEHOLDER_USB_C_OR_DUAL_USB_A,,,,20,0,
J_USB_2,PLACEHOLDER_USB_C_OR_DUAL_USB_A,,,,20,0,
LL1,POWER_INDUCTOR_TBD,,,,2,0,
LL2,POWER_INDUCTOR_TBD,,,,2,0,
LL3,POWER_INDUCTOR_TBD,,,,2,0,
LR1,POWER_INDUCTOR_TBD,,,,2,0,
LR2,POWER_INDUCTOR_TBD,,,,2,0,
LR3,POWER_INDUCTOR_TBD,,,,2,0,
MH1,M3,,,,1,0,
MH2,M3,,,,1,0,
MH3,M3,,,,1,0,
MH4,M3,,,,1,0,
MH5,M3,,,,1,0,
MH6,M3,,,,1,0,
MH7,M3,,,,1,0,
MH8,M3,,,,1,0,
MH9,M3,,,,1,0,
MH10,M3,,,,1,0,
MH11,M3,,,,1,0,
MH12,M3,,,,1,0,
RL01,SERIES_R_TBD,,,,2,2,L_EO_DRIVE_00 L_OPT_BIAS_00
RL02,SERIES_R_TBD,,,,2,2,L_EO_DRIVE_01 L_OPT_BIAS_01
RL03,SERIES_R_TBD,,,,2,2,L_EO_DRIVE_02 L_OPT_BIAS_02
RL04,SERIES_R_TBD,,,,2,2,L_EO_DRIVE_03 L_OPT_BIAS_03
RL05,SERIES_R_TBD,,,,2,2,L_EO_DRIVE_04 L_OPT_BIAS_04
RL06,SERIES_R_TBD,,,,2,2,L_EO_DRIVE_05 L_OPT_BIAS_05
RL07,SERIES_R_TBD,,,,2,2,L_EO_DRIVE_06 L_OPT_BIAS_06
RL08,SERIES_R_TBD,,,,2,2,L_EO_DRIVE_07 L_OPT_BIAS_07
RL09,SERIES_R_TBD,,,,2,2,L_EO_DRIVE_08 L_OPT_BIAS_08
RL10,SERIES_R_TBD,,,,2,2,L_EO_DRIVE_09 L_OPT_BIAS_09
RL11,SERIES_R_TBD,,,,2,2,L_EO_DRIVE_10 L_OPT_BIAS_10
RL12,SERIES_R_TBD,,,,2,2,L_EO_DRIVE_11 L_OPT_BIAS_11
RL13,SERIES_R_TBD,,,,2,2,L_EO_DRIVE_12 L_OPT_BIAS_12
RL14,SERIES_R_TBD,,,,2,2,L_EO_DRIVE_13 L_OPT_BIAS_13
RL15,SERIES_R_TBD,,,,2,2,L_EO_DRIVE_14 L_OPT_BIAS_14
RL16,SERIES_R_TBD,,,,2,2,L_EO_DRIVE_15 L_OPT_BIAS_15
RL17,SERIES_R_TBD,,,,2,2,L_EO_DRIVE_16 L_OPT_BIAS_16
RL18,SERIES_R_TBD,,,,2,2,L_EO_DRIVE_17 L_OPT_BIAS_17
RL19,SERIES_R_TBD,,,,2,2,L_EO_DRIVE_18 L_OPT_BIAS_18
RL20,SERIES_R_TBD,,,,2,2,L_EO_DRIVE_19 L_OPT_BIAS_19
RL21,SERIES_R_TBD,,,,2,2,L_EO_DRIVE_20 L_OPT_BIAS_20
RL22,SERIES_R_TBD,,,,2,2,L_EO_DRIVE_21 L_OPT_BIAS_21
RL23,SERIES_R_TBD,,,,2,2,L_EO_DRIVE_22 L_OPT_BIAS_22
RL24,SERIES_R_TBD,,,,2,2,L_EO_DRIVE_23 L_OPT_BIAS_23
RL25,SERIES_R_TBD,,,,2,2,L_EO_DRIVE_24 L_OPT_BIAS_24
RL26,SERIES_R_TBD,,,,2,2,L_EO_DRIVE_25 L_OPT_BIAS_25
RL27,SERIES_R_TBD,,,,2,2,L_EO_DRIVE_26 L_OPT_BIAS_26
RL28,SERIES_R_TBD,,,,2,2,L_EO_DRIVE_27 L_OPT_BIAS_27
RL29,SERIES_R_TBD,,,,2,2,L_EO_DRIVE_28 L_OPT_BIAS_28
RL30,SERIES_R_TBD,,,,2,2,L_EO_DRIVE_29 L_OPT_BIAS_29
RL31,SERIES_R_TBD,,,,2,2,L_EO_DRIVE_30 L_OPT_BIAS_30
RL32,SERIES_R_TBD,,,,2,2,L_EO_DRIVE_31 L_OPT_BIAS_31
RLB01,SERIES_R_TBD,,,,2,2,L_AUX_00 L_AUX_PROTECTED_00
RLB02,SERIES_R_TBD,,,,2,2,L_AUX_01 L_AUX_PROTECTED_01
RLB03,SERIES_R_TBD,,,,2,2,L_AUX_02 L_AUX_PROTECTED_02
RLB04,SERIES_R_TBD,,,,2,2,L_AUX_03 L_AUX_PROTECTED_03
RLB05,SERIES_R_TBD,,,,2,2,L_AUX_04 L_AUX_PROTECTED_04
RLB06,SERIES_R_TBD,,,,2,2,L_AUX_05 L_AUX_PROTECTED_05
RLB07,SERIES_R_TBD,,,,2,2,L_AUX_06 L_AUX_PROTECTED_06
RLB08,SERIES_R_TBD,,,,2,2,L_AUX_07 L_AUX_PROTECTED_07
RLB09,SERIES_R_TBD,,,,2,2,L_AUX_08 L_AUX_PROTECTED_08
RLB10,SERIES_R_TBD,,,,2,2,L_AUX_09 L_AUX_PROTECTED_09
RLCFG1,STRAP_TBD,,,,2,0,
RLCFG2,STRAP_TBD,,,,2,0,
RLCFG3,STRAP_TBD,,,,2,0,
RLCFG4,STRAP_TBD,,,,2,0,
RLCFG5,STRAP_TBD,,,,2,0,
RLCFG6,STRAP_TBD,,,,2,0,
RLFB01,FILTER_TBD,,,,2,0,
RLFB02,FILTER_TBD,,,,2,0,
RLFB03,FILTER_TBD,,,,2,0,
RLFB04,FILTER_TBD,,,,2,0,
RLFB05,FILTER_TBD,,,,2,0,
RLFB06,FILTER_TBD,,,,2,0,
RLFB07,FILTER_TBD,,,,2,0,
RLFB08,FILTER_TBD,,,,2,0,
RLFB09,FILTER_TBD,,,,2,0,
RLFB10,FILTER_TBD,,,,2,0,
RLFB11,FILTER_TBD,,,,2,0,
RLFB12,FILTER_TBD,,,,2,0,
RLFB13,FILTER_TBD,,,,2,0,
RLFB14,FILTER_TBD,,,,2,0,
RLFB15,FILTER_TBD,,,,2,0,
RLFB16,FILTER_TBD,,,,2,0,
RR01,SERIES_R_TBD,,,,2,2,R_EO_DRIVE_00 R_OPT_BIAS_00
RR02,SERIES_R_TBD,,,,2,2,R_EO_DRIVE_01 R_OPT_BIAS_01
RR03,SERIES_R_TBD,,,,2,2,R_EO_DRIVE_02 R_OPT_BIAS_02
RR04,SERIES_R_TBD,,,,2,2,R_EO_DRIVE_03 R_OPT_BIAS_03
RR05,SERIES_R_TBD,,,,2,2,R_EO_DRIVE_04 R_OPT_BIAS_04
RR06,SERIES_R_TBD,,,,2,2,R_EO_DRIVE_05 R_OPT_BIAS_05
RR07,SERIES_R_TBD,,,,2,2,R_EO_DRIVE_06 R_OPT_BIAS_06
RR08,SERIES_R_TBD,,,,2,2,R_EO_DRIVE_07 R_OPT_BIAS_07
RR09,SERIES_R_TBD,,,,2,2,R_EO_DRIVE_08 R_OPT_BIAS_08
RR10,SERIES_R_TBD,,,,2,2,R_EO_DRIVE_09 R_OPT_BIAS_09
RR11,SERIES_R_TBD,,,,2,2,R_EO_DRIVE_10 R_OPT_BIAS_10
RR12,SERIES_R_TBD,,,,2,2,R_EO_DRIVE_11 R_OPT_BIAS_11
RR13,SERIES_R_TBD,,,,2,2,R_EO_DRIVE_12 R_OPT_BIAS_12
RR14,SERIES_R_TBD,,,,2,2,R_EO_DRIVE_13 R_OPT_BIAS_13
RR15,SERIES_R_TBD,,,,2,2,R_EO_DRIVE_14 R_OPT_BIAS_14
RR16,SERIES_R_TBD,,,,2,2,R_EO_DRIVE_15 R_OPT_BIAS_15
RR17,SERIES_R_TBD,,,,2,2,R_EO_DRIVE_16 R_OPT_BIAS_16
RR18,SERIES_R_TBD,,,,2,2,R_EO_DRIVE_17 R_OPT_BIAS_17
RR19,SERIES_R_TBD,,,,2,2,R_EO_DRIVE_18 R_OPT_BIAS_18
RR20,SERIES_R_TBD,,,,2,2,R_EO_DRIVE_19 R_OPT_BIAS_19
RR21,SERIES_R_TBD,,,,2,2,R_EO_DRIVE_20 R_OPT_BIAS_20
RR22,SERIES_R_TBD,,,,2,2,R_EO_DRIVE_21 R_OPT_BIAS_21
RR23,SERIES_R_TBD,,,,2,2,R_EO_DRIVE_22 R_OPT_BIAS_22
RR24,SERIES_R_TBD,,,,2,2,R_EO_DRIVE_23 R_OPT_BIAS_23
RR25,SERIES_R_TBD,,,,2,2,R_EO_DRIVE_24 R_OPT_BIAS_24
RR26,SERIES_R_TBD,,,,2,2,R_EO_DRIVE_25 R_OPT_BIAS_25
RR27,SERIES_R_TBD,,,,2,2,R_EO_DRIVE_26 R_OPT_BIAS_26
RR28,SERIES_R_TBD,,,,2,2,R_EO_DRIVE_27 R_OPT_BIAS_27
RR29,SERIES_R_TBD,,,,2,2,R_EO_DRIVE_28 R_OPT_BIAS_28
RR30,SERIES_R_TBD,,,,2,2,R_EO_DRIVE_29 R_OPT_BIAS_29
RR31,SERIES_R_TBD,,,,2,2,R_EO_DRIVE_30 R_OPT_BIAS_30
RR32,SERIES_R_TBD,,,,2,2,R_EO_DRIVE_31 R_OPT_BIAS_31
RRB01,SERIES_R_TBD,,,,2,2,R_AUX_00 R_AUX_PROTECTED_00
RRB02,SERIES_R_TBD,,,,2,2,R_AUX_01 R_AUX_PROTECTED_01
RRB03,SERIES_R_TBD,,,,2,2,R_AUX_02 R_AUX_PROTECTED_02
RRB04,SERIES_R_TBD,,,,2,2,R_AUX_03 R_AUX_PROTECTED_03
RRB05,SERIES_R_TBD,,,,2,2,R_AUX_04 R_AUX_PROTECTED_04
RRB06,SERIES_R_TBD,,,,2,2,R_AUX_05 R_AUX_PROTECTED_05
RRB07,SERIES_R_TBD,,,,2,2,R_AUX_06 R_AUX_PROTECTED_06
RRB08,SERIES_R_TBD,,,,2,2,R_AUX_07 R_AUX_PROTECTED_07
RRB09,SERIES_R_TBD,,,,2,2,R_AUX_08 R_AUX_PROTECTED_08
RRB10,SERIES_R_TBD,,,,2,2,R_AUX_09 R_AUX_PROTECTED_09
RRCFG1,STRAP_TBD,,,,2,0,
RRCFG2,STRAP_TBD,,,,2,0,
RRCFG3,STRAP_TBD,,,,2,0,
RRCFG4,STRAP_TBD,,,,2,0,
RRCFG5,STRAP_TBD,,,,2,0,
RRCFG6,STRAP_TBD,,,,2,0,
RRFB01,FILTER_TBD,,,,2,0,
RRFB02,FILTER_TBD,,,,2,0,
RRFB03,FILTER_TBD,,,,2,0,
RRFB04,FILTER_TBD,,,,2,0,
RRFB05,FILTER_TBD,,,,2,0,
RRFB06,FILTER_TBD,,,,2,0,
RRFB07,FILTER_TBD,,,,2,0,
RRFB08,FILTER_TBD,,,,2,0,
RRFB09,FILTER_TBD,,,,2,0,
RRFB10,FILTER_TBD,,,,2,0,
RRFB11,FILTER_TBD,,,,2,0,
RRFB12,FILTER_TBD,,,,2,0,
RRFB13,FILTER_TBD,,,,2,0,
RRFB14,FILTER_TBD,,,,2,0,
RRFB15,FILTER_TBD,,,,2,0,
RRFB16,FILTER_TBD,,,,2,0,
U1,NCE_Gen3_SpikingBrain,LR-NCE-G3-BGA2500-001,"Neural Compute Engine Gen3, 8x8mm, SMIC 28nm, 2500-ball BGA, 35W",LightRail:BGA-2500_40x40mm_P0.8mm,174,74,L_AUX_00 L_AUX_01 L_AUX_02 L_AUX_03 L_AUX_04 L_AUX_05 L_AUX_06 L_AUX_07
U3,TFLN_PIC_4xMZM,TFLN-MZM-400G-C,"iXblue TFLN MZM, X-cut LiNbO3, Vpi<2V, 100GHz BW, 40-pad",LightRail:Custom_Optical_Module_25x8mm,82,64,L_TFLN_CTRL_00 L_TFLN_CTRL_01 L_TFLN_CTRL_02 L_TFLN_CTRL_03 L_TFLN_CTRL_04 L_TFLN_CTRL_05 L_TFLN_CTRL_06 L_TFLN_CTRL_07
U4,NCE_Gen3_SpikingBrain,LR-NCE-G3-BGA2500-001,"Neural Compute Engine Gen3, 8x8mm, SMIC 28nm, 2500-ball BGA, 35W",LightRail:BGA-2500_40x40mm_P0.8mm,174,74,R_AUX_00 R_AUX_01 R_AUX_02 R_AUX_03 R_AUX_04 R_AUX_05 R_AUX_06 R_AUX_07
U30,HBM4-16GB,SK_HBM4_16GB_12H,"HBM4 16GB 12-Hi Stack S0, 8.4Gbps/pin, 1.2V",LightRail:BGA-1024_12x9mm,17,0,
U31,HBM4-16GB,SK_HBM4_16GB_12H,"HBM4 16GB 12-Hi Stack S1, 8.4Gbps/pin, 1.2V",LightRail:BGA-1024_12x9mm,17,0,
U32,HBM4-16GB,SK_HBM4_16GB_12H,"HBM4 16GB 12-Hi Stack S2, 8.4Gbps/pin, 1.2V",LightRail:BGA-1024_12x9mm,17,0,
U33,HBM4-16GB,SK_HBM4_16GB_12H,HBM4 16GB 12-Hi Stack S3,LightRail:BGA-1024_12x9mm,17,0,
U34,HBM4-16GB,SK_HBM4_16GB_12H,HBM4 16GB 12-Hi Stack S4,LightRail:BGA-1024_12x9mm,17,0,
U35,HBM4-16GB,SK_HBM4_16GB_12H,HBM4 16GB 12-Hi Stack S5,LightRail:BGA-1024_12x9mm,17,0,
U36,HBM4-16GB,,,,17,0,
U37,HBM4-16GB,,,,17,0,
U38,HBM4-16GB,,,,17,0,
U39,HBM4-16GB,,,,17,0,
U40,HBM4-16GB,SK_HBM4_16GB_12H,,LightRail:BGA-1024_12x9mm,17,0,
U41,HBM4-16GB,SK_HBM4_16GB_12H,,LightRail:BGA-1024_12x9mm,17,0,
U42,HBM4-16GB,SK_HBM4_16GB_12H,,LightRail:BGA-1024_12x9mm,17,0,
U43,HBM4-16GB,SK_HBM4_16GB_12H,,LightRail:BGA-1024_12x9mm,17,0,
U44,HBM4-16GB,SK_HBM4_16GB_12H,,LightRail:BGA-1024_12x9mm,17,0,
U45,HBM4-16GB,SK_HBM4_16GB_12H,,LightRail:BGA-1024_12x9mm,17,0,
U50,HMC8410,HMC8410LP2FE,ADI 100GHz Differential RF Driver IC,Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm,13,0,
U51,HMC8410,HMC8410LP2FE,ADI 100GHz Differential RF Driver IC,Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm,13,0,
U52,HMC8410,HMC8410LP2FE,ADI 100GHz Differential RF Driver IC,Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm,13,0,
U53,HMC8410,HMC8410LP2FE,ADI 100GHz Differential RF Driver IC,Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm,13,0,
U200,ISL69260,ISL69260IRAZ,"Renesas 24-Phase Digital VRM Controller, 0.8V output",Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm,0,0,
