reference,value,mpn,description,footprint,pad_count,connected_net_count,connected_nets_sample
UL28,BUFFER_DRIVER_TBD,,,,2,2,L_EO_DRIVE_27 L_OPT_MONITOR_27
UL29,BUFFER_DRIVER_TBD,,,,2,2,L_EO_DRIVE_28 L_OPT_MONITOR_28
UL30,BUFFER_DRIVER_TBD,,,,2,2,L_EO_DRIVE_29 L_OPT_MONITOR_29
UL31,BUFFER_DRIVER_TBD,,,,2,2,L_EO_DRIVE_30 L_OPT_MONITOR_30
UL32,BUFFER_DRIVER_TBD,,,,2,2,L_EO_DRIVE_31 L_OPT_MONITOR_31
ULB01,AUX_DRIVER_TBD,,,,2,2,L_AUX_EXT_00 L_AUX_PROTECTED_00
ULB02,AUX_DRIVER_TBD,,,,2,2,L_AUX_EXT_01 L_AUX_PROTECTED_01
ULB03,AUX_DRIVER_TBD,,,,2,2,L_AUX_EXT_02 L_AUX_PROTECTED_02
ULB04,AUX_DRIVER_TBD,,,,2,2,L_AUX_EXT_03 L_AUX_PROTECTED_03
ULB05,AUX_DRIVER_TBD,,,,2,2,L_AUX_EXT_04 L_AUX_PROTECTED_04
ULB06,AUX_DRIVER_TBD,,,,2,2,L_AUX_EXT_05 L_AUX_PROTECTED_05
ULB07,AUX_DRIVER_TBD,,,,2,2,L_AUX_EXT_06 L_AUX_PROTECTED_06
ULB08,AUX_DRIVER_TBD,,,,2,2,L_AUX_EXT_07 L_AUX_PROTECTED_07
ULB09,AUX_DRIVER_TBD,,,,2,2,L_AUX_EXT_08 L_AUX_PROTECTED_08
ULB10,AUX_DRIVER_TBD,,,,2,2,L_AUX_EXT_09 L_AUX_PROTECTED_09
ULREG,MULTIRAIL_REGULATOR_TBD,,,,21,0,
UPWR_L,POWER_ISLAND_TBD,,,,0,0,
UPWR_R,POWER_ISLAND_TBD,,,,0,0,
UR01,BUFFER_DRIVER_TBD,,,,2,2,R_EO_DRIVE_00 R_OPT_MONITOR_00
UR02,BUFFER_DRIVER_TBD,,,,2,2,R_EO_DRIVE_01 R_OPT_MONITOR_01
UR03,BUFFER_DRIVER_TBD,,,,2,2,R_EO_DRIVE_02 R_OPT_MONITOR_02
UR04,BUFFER_DRIVER_TBD,,,,2,2,R_EO_DRIVE_03 R_OPT_MONITOR_03
UR05,BUFFER_DRIVER_TBD,,,,2,2,R_EO_DRIVE_04 R_OPT_MONITOR_04
UR06,BUFFER_DRIVER_TBD,,,,2,2,R_EO_DRIVE_05 R_OPT_MONITOR_05
UR07,BUFFER_DRIVER_TBD,,,,2,2,R_EO_DRIVE_06 R_OPT_MONITOR_06
UR08,BUFFER_DRIVER_TBD,,,,2,2,R_EO_DRIVE_07 R_OPT_MONITOR_07
UR09,BUFFER_DRIVER_TBD,,,,2,2,R_EO_DRIVE_08 R_OPT_MONITOR_08
UR10,BUFFER_DRIVER_TBD,,,,2,2,R_EO_DRIVE_09 R_OPT_MONITOR_09
UR11,BUFFER_DRIVER_TBD,,,,2,2,R_EO_DRIVE_10 R_OPT_MONITOR_10
UR12,BUFFER_DRIVER_TBD,,,,2,2,R_EO_DRIVE_11 R_OPT_MONITOR_11
UR13,BUFFER_DRIVER_TBD,,,,2,2,R_EO_DRIVE_12 R_OPT_MONITOR_12
